,amfi_code,alpha,beta,alpha_rank,beta_rank
0,100016,0.03747580763443281,-0.0582684314388089,39,37
1,100025,0.042817920315060876,0.0011582183155281463,38,18
2,100033,0.2719535450128533,0.0051035258305283104,6,16
3,101206,0.21399784776051212,0.02108631625012803,12,8
4,101207,0.10897091901704538,-0.06528924788351524,27,38
5,101208,0.060861457957871144,0.00026670968338238433,33,20
6,102885,0.17048756803412696,-0.019486785689474526,19,28
7,102886,0.028969397866379445,-0.04212502902189432,40,36
8,102887,0.16211256794033255,0.016682689437770827,21,11
9,118632,0.21829397904608644,-0.008353832126962021,11,27
10,118633,0.15643835948169668,-0.03663900671860934,22,34
11,118634,0.1750072167561127,0.1034966369133759,18,1
12,118635,0.1513635464823924,-0.001433521389780133,23,23
13,118636,0.05074772999976104,0.0012566742731558458,35,17
14,119092,0.0689952982167755,0.009730745001153637,30,14
15,119093,0.08232801295222093,0.02588321244009315,28,6
16,119094,0.2607666908004223,-0.06626542862803757,9,39
17,119095,0.048015953637759554,-0.066951174639292,37,40
18,119120,0.05620895216638369,-0.006413850728276477,34,26
19,119551,0.23201007160635082,-0.03175144113890972,10,33
20,119552,0.1986859936686296,-0.026159307513513405,15,31
21,119598,0.3033696538698332,-0.023196062044059693,1,30
22,119599,0.048824215945539845,0.06200180438267168,36,2
23,120503,0.17703302365844073,-0.0402689523698206,17,35
24,120504,0.2119482701352573,0.016232169761417007,13,12
25,120505,0.2926358334175106,0.000549004250631712,3,19
26,120506,0.1625385327998104,0.04189646272811977,20,4
27,120507,0.06746210411099539,-0.0004440926329707234,31,22
28,120841,0.13042924450705445,0.036356399022199795,25,5
29,120842,0.0780443887615508,0.01805687420811816,29,10
30,120843,0.27330465038306057,-0.02282956979242654,5,29
31,120844,0.06455677495375998,-0.00040074423947840013,32,21
32,125497,0.17729754927531766,0.04882040425957739,16,3
33,125498,0.11989100971217971,0.009054412621739154,26,15
34,148567,0.2698375144191807,0.023683558075848623,7,7
35,148568,0.20873010086942337,-0.026387719943843004,14,32
36,148569,0.2827036785246582,0.018133884083859245,4,9
37,149322,0.13173190226099432,-0.004050271130006534,24,25
38,149323,0.26598577542043045,-0.002523004664699247,8,24
39,149324,0.3005787817097677,0.011455159960520708,2,13
